Type of exp	TP	FN	TN	FP	AUC	AUH	accuracy	precision	F1 score	specificity	sensitivity	acc est
SVMprob-S-extA	70	17	48	39	  0.69	  0.71	 67.82%	 64.22%	  0.71	 55.17%	 80.46%	 67.82%
RF-S-extA	70	17	39	48	  0.64	  0.66	 62.64%	 59.32%	  0.68	 44.83%	 80.46%	 62.64%
SVMprob-SiHL-extA	71	16	69	18	  0.86	  0.87	 80.46%	 79.78%	  0.81	 79.31%	 81.61%	 80.46%
RF-SiHL-extA	68	19	76	11	  0.90	  0.91	 82.76%	 86.08%	  0.82	 87.36%	 78.16%	 82.76%
SVMprob-SiHR-extA	75	12	63	24	  0.84	  0.86	 79.31%	 75.76%	  0.81	 72.41%	 86.21%	 79.31%
RF-SiHR-extA	77	10	63	24	  0.89	  0.90	 80.46%	 76.24%	  0.82	 72.41%	 88.51%	 80.46%
SVMprob-SiHU-extA	72	15	71	16	  0.88	  0.89	 82.18%	 81.82%	  0.82	 81.61%	 82.76%	 82.18%
RF-SiHU-extA	76	11	62	25	  0.87	  0.88	 79.31%	 75.25%	  0.81	 71.26%	 87.36%	 79.31%
SVMprob-SiH-extA	78	9	57	30	  0.83	  0.86	 77.59%	 72.22%	  0.80	 65.52%	 89.66%	 77.59%
RF-SiH-extA	67	20	69	18	  0.84	  0.85	 78.16%	 78.82%	  0.78	 79.31%	 77.01%	 78.16%
SVMprob-SiL-extA	78	9	66	21	  0.87	  0.88	 82.76%	 78.79%	  0.84	 75.86%	 89.66%	 82.76%
RF-SiL-extA	62	25	76	11	  0.87	  0.88	 79.31%	 84.93%	  0.78	 87.36%	 71.26%	 79.31%
SVMprob-SiR-extA	62	25	72	15	  0.83	  0.85	 77.01%	 80.52%	  0.76	 82.76%	 71.26%	 77.01%
RF-SiR-extA	74	13	61	26	  0.85	  0.87	 77.59%	 74.00%	  0.79	 70.11%	 85.06%	 77.59%
SVMprob-SiU-extA	77	10	70	17	  0.88	  0.90	 84.48%	 81.91%	  0.85	 80.46%	 88.51%	 84.48%
RF-SiU-extA	61	26	69	18	  0.82	  0.84	 74.71%	 77.22%	  0.73	 79.31%	 70.11%	 74.71%
SVMprob-SiVHL-extA	80	7	59	28	  0.87	  0.88	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
RF-SiVHL-extA	77	10	66	21	  0.90	  0.91	 82.18%	 78.57%	  0.83	 75.86%	 88.51%	 82.18%
SVMprob-SiVHR-extA	63	24	74	13	  0.85	  0.87	 78.74%	 82.89%	  0.77	 85.06%	 72.41%	 78.74%
RF-SiVHR-extA	69	18	74	13	  0.90	  0.91	 82.18%	 84.15%	  0.82	 85.06%	 79.31%	 82.18%
SVMprob-SiVHU-extA	75	12	65	22	  0.88	  0.89	 80.46%	 77.32%	  0.82	 74.71%	 86.21%	 80.46%
RF-SiVHU-extA	72	15	68	19	  0.88	  0.89	 80.46%	 79.12%	  0.81	 78.16%	 82.76%	 80.46%
SVMprob-SiVH-extA	59	28	78	9	  0.85	  0.86	 78.74%	 86.76%	  0.76	 89.66%	 67.82%	 78.74%
RF-SiVH-extA	66	21	74	13	  0.85	  0.87	 80.46%	 83.54%	  0.80	 85.06%	 75.86%	 80.46%
SVMprob-SiVL-extA	81	6	59	28	  0.87	  0.88	 80.46%	 74.31%	  0.83	 67.82%	 93.10%	 80.46%
RF-SiVL-extA	69	18	71	16	  0.88	  0.90	 80.46%	 81.18%	  0.80	 81.61%	 79.31%	 80.46%
SVMprob-SiVR-extA	65	22	68	19	  0.83	  0.84	 76.44%	 77.38%	  0.76	 78.16%	 74.71%	 76.44%
RF-SiVR-extA	68	19	70	17	  0.86	  0.87	 79.31%	 80.00%	  0.79	 80.46%	 78.16%	 79.31%
SVMprob-SiVU-extA	75	12	66	21	  0.88	  0.89	 81.03%	 78.12%	  0.82	 75.86%	 86.21%	 81.03%
RF-SiVU-extA	74	13	63	24	  0.87	  0.88	 78.74%	 75.51%	  0.80	 72.41%	 85.06%	 78.74%
SVMprob-SiV-extA	69	18	58	29	  0.80	  0.82	 72.99%	 70.41%	  0.75	 66.67%	 79.31%	 72.99%
RF-SiV-extA	65	22	71	16	  0.85	  0.87	 78.16%	 80.25%	  0.77	 81.61%	 74.71%	 78.16%
SVMprob-Si-extA	59	28	64	23	  0.74	  0.75	 70.69%	 71.95%	  0.70	 73.56%	 67.82%	 70.69%
RF-Si-extA	65	22	65	22	  0.78	  0.80	 74.71%	 74.71%	  0.75	 74.71%	 74.71%	 74.71%
SVMprob-U-extA	56	31	76	11	  0.82	  0.84	 75.86%	 83.58%	  0.73	 87.36%	 64.37%	 75.86%
RF-U-extA	56	31	64	23	  0.74	  0.77	 68.97%	 70.89%	  0.67	 73.56%	 64.37%	 68.97%
SVMprob-VHL-extA	73	14	70	17	  0.86	  0.87	 82.18%	 81.11%	  0.82	 80.46%	 83.91%	 82.18%
RF-VHL-extA	82	5	60	27	  0.89	  0.91	 81.61%	 75.23%	  0.84	 68.97%	 94.25%	 81.61%
SVMprob-VHR-extA	65	22	72	15	  0.86	  0.87	 78.74%	 81.25%	  0.78	 82.76%	 74.71%	 78.74%
RF-VHR-extA	78	9	65	22	  0.89	  0.91	 82.18%	 78.00%	  0.83	 74.71%	 89.66%	 82.18%
SVMprob-VHU-extA	72	15	70	17	  0.88	  0.89	 81.61%	 80.90%	  0.82	 80.46%	 82.76%	 81.61%
RF-VHU-extA	72	15	67	20	  0.88	  0.89	 79.89%	 78.26%	  0.80	 77.01%	 82.76%	 79.89%
SVMprob-VH-extA	73	14	64	23	  0.85	  0.86	 78.74%	 76.04%	  0.80	 73.56%	 83.91%	 78.74%
RF-VH-extA	68	19	71	16	  0.84	  0.86	 79.89%	 80.95%	  0.80	 81.61%	 78.16%	 79.89%
